23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200135	Mat	PPCSDSTRGVESD 43x151xRL	PM_ASERRADERO	1	P	P	C	SD	ST	RG	VE	SD	43	151	RL	         43,000	      151,000		 43,000	  151,000
	1200136	Mat	PPCSDSTRGSESD 43x151xRL	PM_ASERRADERO	1	P	P	C	SD	ST	RG	SE	SD	43	151	RL	         43,000	      151,000		 43,000	  151,000
	1200137	Mat	PPCLAL1RGSESD 24x128xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	SE	SD	24	128	RL	         24,000	      128,000		 24,000	  128,000
	1200153	Mat	PPC4KDTRGISG1 1x5xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IM	G1	1	5	RL	         25,400	      127,000		 28,000	  138,000
	1200155	Mat	PPCDTD1RGSESD 2x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	2	6	RL	         52,000	      155,000		 52,000	  155,000
	1200156	Mat	PPCLAL1S4SEG1 20x120xRL	PM_ASERRADERO	1	P	P	C	LA	L1	S4	SE	G1	20	120	RL	         20,000	      120,000		 20,000	  120,000
	1200157	Mat	PPC4KDTR2IVG1 1x4xRL	PM_ASERRADERO	1	P	P	C	4K	DT	R2	IV	G1	1	4	RL	         25,400	      101,600		 22,000	   97,000
	1200158	Mat	PPC4KDTR2IVG1 1x3xRL	PM_ASERRADERO	1	P	P	C	4K	DT	R2	IV	G1	1	3	RL	         25,400	       76,200		 22,000	   72,000
	1200159	Mat	PPC4KDTS4IVG1 2x4xRL	PM_ASERRADERO	1	P	P	C	4K	DT	S4	IV	G1	2	4	RL	         50,800	      101,600		 46,000	   97,000
	1200160	Mat	PPC4KDTS4IVG1 2x8xRL	PM_ASERRADERO	1	P	P	C	4K	DT	S4	IV	G1	2	8	RL	         50,800	      203,200		 46,000	  197,000
