Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1207574;PPCMASTRGSESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
1207575;PPCMASPRGVESD 38x95xRL;MA;38.0;95.0;;MA3895;MA 38x95;True
1207576;PPCMASPRGSESD 38x95xRL;MA;38.0;95.0;;MA3895;MA 38x95;True
1207577;PPCMASPRGVESD 75x95xRL;MA;75.0;95.0;;MA7595;MA 75x95;True
1207578;PPCMASPRGSESD 75x95xRL;MA;75.0;95.0;;MA7595;MA 75x95;True
1207581;PPCMASTRGVESD 33x104xRL;MA;33.0;104.0;;MA33104;MA 33x104;True
1207582;PPCMASTRGSESD 33x104xRL;MA;33.0;104.0;;MA33104;MA 33x104;True
1207583;PPCMASTRGVESD 21x150xRL;MA;21.0;150.0;;MA21150;MA 21x150;True
1207584;PPCMASTRGSESD 21x150xRL;MA;21.0;150.0;;MA21150;MA 21x150;True
1207593;PPCMASPRGVESD 57x104xRL;MA;57.0;104.0;;MA57104;MA 57x104;True
1207594;PPCMASPRGSESD 57x104xRL;MA;57.0;104.0;;MA57104;MA 57x104;True
1207643;PPCMASPRGVESD 89x89xRL;MA;89.0;89.0;;MA8989;MA 89x89;True
1207644;PPCMASPRGSESD 89x89xRL;MA;89.0;89.0;;MA8989;MA 89x89;True
1207646;PPCMASTRGVESD 32x89xRL;MA;32.0;89.0;;MA3289;MA 32x89;True
1207647;PPCMASTRGSESD 32x89xRL;MA;32.0;89.0;;MA3289;MA 32x89;True
1207655;PPCMASTRGVESD 26x89xRL;MA;26.0;89.0;;MA2689;MA 26x89;True
1207656;PPCMASTRGSESD 26x89xRL;MA;26.0;89.0;;MA2689;MA 26x89;True
1207661;PPCMASTRGVESD 16x89xRL;MA;16.0;89.0;;MA1689;MA 16x89;True
1207662;PPCMASTRGSESD 16x89xRL;MA;16.0;89.0;;MA1689;MA 16x89;True
1207693;PPCMASTRGVESD 17x145xRL;MA;17.0;145.0;;MA17145;MA 17x145;True
1207694;PPCMASTRGSESD 17x145xRL;MA;17.0;145.0;;MA17145;MA 17x145;True
1207704;PPCMASTRGVESD 23x89xRL;MA;23.0;89.0;;MA2389;MA 23x89;True
1207705;PPCMASTRGSESD 23x89xRL;MA;23.0;89.0;;MA2389;MA 23x89;True
1207706;PPCMASTRGVESD 16x98xRL;MA;16.0;98.0;;MA1698;MA 16x98;True
1207708;PPCMASPRGSESD 16x98xRL;MA;16.0;98.0;;MA1698;MA 16x98;True
1207713;PPCMASPRGVESD 18x89xRL;MA;18.0;89.0;;MA1889;MA 18x89;True
1207714;PPCMASPRGSESD 18x89xRL;MA;18.0;89.0;;MA1889;MA 18x89;True
1207725;PPCMASPRGVESD 50x70xRL;MA;50.0;70.0;;MA5070;MA 50x70;True
